service_date,route_short,gated_entries
2020-05-22,Green,7299.45
2020-05-22,Orange,17187.03
2020-05-22,Red,18212.12
2020-05-23,Blue,251.4
2020-05-23,Green,4763.22
2020-05-23,Orange,10596.88
2020-05-23,Red,11037.4
2020-05-24,Blue,221.2
2020-05-24,Green,3761.06
2020-05-24,Orange,8813.5
2020-05-24,Red,9498.04
2020-05-25,Blue,222.4
2020-05-25,Green,4191.31
2020-05-25,Orange,9957.13
2020-05-25,Red,10510.66
2020-05-26,Blue,379.4
2020-05-26,Green,6962.17
2020-05-26,Orange,17850.06
2020-05-26,Red,19099.17
2020-05-27,Blue,408.1
2020-05-27,Green,7199.35
2020-05-27,Orange,18363.87
2020-05-27,Red,19382.88
2020-05-28,Blue,390.8
2020-05-28,Green,6910.97
2020-05-28,Orange,17713.3
2020-05-28,Red,19456.33
2020-05-29,Blue,413.4
2020-05-29,Green,7462.5
2020-05-29,Orange,18642.62
2020-05-29,Red,19740.28
2020-05-30,Blue,244.0
2020-05-30,Green,4996.95
2020-05-30,Orange,12332.4
2020-05-30,Red,12645.65
2020-05-31,Blue,251.3
2020-05-31,Green,6171.64
2020-05-31,Orange,12889.4
2020-05-31,Red,13797.16
2020-06-01,Blue,8151.1
2020-06-01,Green,5942.86
2020-06-01,Orange,18631.77
2020-06-01,Red,19901.07
2020-06-02,Blue,9393.1
2020-06-02,Green,6075.46
2020-06-02,Orange,21600.2
2020-06-02,Red,20959.04
2020-06-03,Blue,10201.9
2020-06-03,Green,6814.52
2020-06-03,Orange,20047.3
2020-06-03,Red,21183.78
2020-06-04,Blue,10994.4
2020-06-04,Green,6324.79
2020-06-04,Orange,19812.46
2020-06-04,Red,21935.65
2020-06-05,Blue,10797.1
2020-06-05,Green,6420.29
2020-06-05,Orange,20151.64
2020-06-05,Red,21983.57
2020-06-06,Blue,7406.7
2020-06-06,Green,4725.34
2020-06-06,Orange,11694.42
2020-06-06,Red,14079.84
2020-06-07,Blue,6028.8
2020-06-07,Green,4320.41
2020-06-07,Orange,12190.89
2020-06-07,Red,12575.5
2020-06-08,Blue,11544.5
2020-06-08,Green,7196.66
2020-06-08,Orange,21512.99
2020-06-08,Red,23675.95
2020-06-09,Blue,11137.8
2020-06-09,Green,7260.05
2020-06-09,Orange,21768.26
2020-06-09,Red,23757.39
2020-06-10,Blue,11935.6
2020-06-10,Green,7697.23
2020-06-10,Orange,22591.56
2020-06-10,Red,24674.81
2020-06-11,Blue,10543.5
2020-06-11,Green,7187.85
2020-06-11,Orange,21264.82
2020-06-11,Red,23398.83
2020-06-12,Blue,13223.0
2020-06-12,Green,8459.17
2020-06-12,Orange,24181.12
2020-06-12,Red,26351.51
2020-06-13,Blue,9849.6
2020-06-13,Green,6415.03
2020-06-13,Orange,16944.41
2020-06-13,Red,17969.16
2020-06-14,Blue,7619.8
2020-06-14,Green,4772.64
2020-06-14,Orange,12761.84
2020-06-14,Red,13827.22
2020-06-15,Blue,12516.6
2020-06-15,Green,7638.34
2020-06-15,Orange,24327.17
2020-06-15,Red,26251.79
2020-06-16,Blue,12874.6
2020-06-16,Green,8163.47
2020-06-16,Orange,25166.18
2020-06-16,Red,27123.75
2020-06-17,Blue,13353.8
2020-06-17,Green,8090.47
2020-06-17,Orange,25687.68
2020-06-17,Red,26003.15
2020-06-18,Blue,13691.6
2020-06-18,Green,8266.35
2020-06-18,Orange,25678.4
2020-06-18,Red,27093.45
2020-06-19,Blue,13564.4
2020-06-19,Green,8891.69
2020-06-19,Orange,26556.7
2020-06-19,Red,29126.41
2020-06-20,Blue,10224.3
2020-06-20,Green,7243.35
2020-06-20,Orange,18596.64
2020-06-20,Red,19099.21
2020-06-21,Blue,8363.0
2020-06-21,Green,4939.71
2020-06-21,Orange,13623.27
2020-06-21,Red,13835.82
2020-06-22,Blue,13336.9
2020-06-22,Green,8992.7
2020-06-22,Orange,26156.48
2020-06-22,Red,26823.32
2020-06-23,Blue,14255.6
2020-06-23,Green,9552.91
2020-06-23,Orange,27225.21
2020-06-23,Red,28192.28
2020-06-24,Blue,14006.5
2020-06-24,Green,9356.48
2020-06-24,Orange,26798.49
2020-06-24,Red,27866.73
2020-06-25,Blue,15369.8
2020-06-25,Green,10062.03
2020-06-25,Orange,27942.55
2020-06-25,Red,28882.02
2020-06-26,Blue,15309.4
2020-06-26,Green,10587.39
2020-06-26,Orange,28625.95
2020-06-26,Red,29616.06
2020-06-27,Blue,10810.5
