service_date,route_short,station_name,gated_entries
2020-01-04,Red,Downtown Crossing,4747.08
2020-01-04,Red,Fields Corner,2359.0
2020-01-04,Red,Harvard,7650.0
2020-01-04,Red,JFK/UMass,1894.0
2020-01-04,Red,Kendall/MIT,3406.0
2020-01-04,Red,North Quincy,1979.0
2020-01-04,Red,Park Street,2832.48
2020-01-04,Red,Porter,3220.0
2020-01-04,Red,Quincy Adams,1143.0
2020-01-04,Red,Quincy Center,2975.0
2020-01-04,Red,Savin Hill,966.0
2020-01-04,Red,Shawmut,716.0
2020-01-04,Red,South Station,4386.9
2020-01-04,Red,Wollaston,1461.0
2020-01-05,Blue,Airport,4353.0
2020-01-05,Blue,Aquarium,1842.0
2020-01-05,Blue,Beachmont,1189.0
2020-01-05,Blue,Bowdoin,476.0
2020-01-05,Blue,Government Center,174.0
2020-01-05,Blue,Maverick,4863.0
2020-01-05,Blue,Orient Heights,1653.0
2020-01-05,Blue,Revere Beach,1391.0
2020-01-05,Blue,State Street,290.4
2020-01-05,Blue,Suffolk Downs,325.0
2020-01-05,Blue,Wonderland,2314.0
2020-01-05,Blue,Wood Island,760.0
2020-01-05,Green,Arlington,1922.0
2020-01-05,Green,Boylston,2831.0
2020-01-05,Green,Copley,5439.0
2020-01-05,Green,Government Center,1566.0
2020-01-05,Green,Haymarket,1953.14
2020-01-05,Green,Hynes Convention Center,3525.0
2020-01-05,Green,Kenmore,2412.0
2020-01-05,Green,Lechmere,1916.0
2020-01-05,Green,North Station,1222.98
2020-01-05,Green,Park Street,3007.88
2020-01-05,Green,Prudential,2004.0
2020-01-05,Green,Riverside,395.0
2020-01-05,Green,Science Park,497.0
2020-01-05,Green,Symphony,917.0
2020-01-05,Orange,Assembly,2008.0
2020-01-05,Orange,Back Bay,4894.0
2020-01-05,Orange,Chinatown,3027.0
2020-01-05,Orange,Community College,827.0
2020-01-05,Orange,Downtown Crossing,3533.39
2020-01-05,Orange,Forest Hills,3791.0
2020-01-05,Orange,Green Street,890.0
2020-01-05,Orange,Haymarket,2032.86
2020-01-05,Orange,Jackson Square,1720.0
2020-01-05,Orange,Malden Center,3330.0
2020-01-05,Orange,Massachusetts Avenue,1880.0
2020-01-05,Orange,North Station,2374.02
2020-01-05,Orange,Oak Grove,1448.0
2020-01-05,Orange,Roxbury Crossing,1264.0
2020-01-05,Orange,Ruggles,2559.0
2020-01-05,Orange,State Street,2613.6
2020-01-05,Orange,Stony Brook,1048.0
2020-01-05,Orange,Sullivan Square,2689.0
2020-01-05,Orange,Tufts Medical Center,1913.0
2020-01-05,Orange,Wellington,2308.0
2020-01-05,Red,Alewife,2557.0
2020-01-05,Red,Andrew,1961.0
2020-01-05,Red,Ashmont,2514.0
2020-01-05,Red,Braintree,985.0
2020-01-05,Red,Broadway,1817.0
2020-01-05,Red,Central,5921.0
2020-01-05,Red,Charles/MGH,2215.0
2020-01-05,Red,Davis,3458.0
2020-01-05,Red,Downtown Crossing,3677.61
2020-01-05,Red,Fields Corner,1853.0
2020-01-05,Red,Harvard,6392.0
2020-01-05,Red,JFK/UMass,1657.0
2020-01-05,Red,Kendall/MIT,2813.0
2020-01-05,Red,North Quincy,1508.0
2020-01-05,Red,Park Street,2178.12
2020-01-05,Red,Porter,2944.0
2020-01-05,Red,Quincy Adams,653.0
2020-01-05,Red,Quincy Center,2277.0
2020-01-05,Red,Savin Hill,732.0
2020-01-05,Red,Shawmut,562.0
2020-01-05,Red,South Station,4163.6
2020-01-05,Red,Wollaston,1189.0
2020-01-06,Blue,Airport,6663.0
2020-01-06,Blue,Aquarium,4051.0
2020-01-06,Blue,Beachmont,3028.0
2020-01-06,Blue,Bowdoin,2229.0
2020-01-06,Blue,Government Center,681.4
2020-01-06,Blue,Maverick,10598.0
2020-01-06,Blue,Orient Heights,4243.0
2020-01-06,Blue,Revere Beach,2736.0
2020-01-06,Blue,State Street,1394.8
2020-01-06,Blue,Suffolk Downs,608.0
2020-01-06,Blue,Wonderland,6670.0
2020-01-06,Blue,Wood Island,1934.0
2020-01-06,Green,Arlington,6200.0
2020-01-06,Green,Boylston,4168.0
2020-01-06,Green,Copley,10789.0
2020-01-06,Green,Government Center,6132.599999999999
2020-01-06,Green,Haymarket,4205.67
2020-01-06,Green,Hynes Convention Center,5428.0
2020-01-06,Green,Kenmore,4992.0
2020-01-06,Green,Lechmere,5142.0
2020-01-06,Green,North Station,5464.14
2020-01-06,Green,Park Street,7951.8
2020-01-06,Green,Prudential,2950.0
2020-01-06,Green,Riverside,1266.0
2020-01-06,Green,Science Park,597.0
2020-01-06,Green,Symphony,1413.0
2020-01-06,Orange,Assembly,3845.0
2020-01-06,Orange,Back Bay,15774.0
2020-01-06,Orange,Chinatown,5205.0
2020-01-06,Orange,Community College,2802.0
2020-01-06,Orange,Downtown Crossing,11641.91
2020-01-06,Orange,Forest Hills,11965.0
2020-01-06,Orange,Green Street,2987.0
2020-01-06,Orange,Haymarket,4377.33
2020-01-06,Orange,Jackson Square,5165.0
2020-01-06,Orange,Malden Center,10497.0
2020-01-06,Orange,Massachusetts Avenue,5253.0
2020-01-06,Orange,North Station,10606.86
2020-01-06,Orange,Oak Grove,6288.0
2020-01-06,Orange,Roxbury Crossing,4372.0
2020-01-06,Orange,Ruggles,9194.0
2020-01-06,Orange,State Street,12553.2
2020-01-06,Orange,Stony Brook,3209.0
2020-01-06,Orange,Sullivan Square,7583.0
2020-01-06,Orange,Tufts Medical Center,5966.0
2020-01-06,Orange,Wellington,7030.0
2020-01-06,Red,Alewife,11539.0
2020-01-06,Red,Andrew,5198.0
2020-01-06,Red,Ashmont,8284.0
2020-01-06,Red,Braintree,4331.0
2020-01-06,Red,Broadway,6087.0
2020-01-06,Red,Central,15021.0
2020-01-06,Red,Charles/MGH,9916.0
2020-01-06,Red,Davis,10997.0
2020-01-06,Red,Downtown Crossing,12117.09
2020-01-06,Red,Fields Corner,4426.0
2020-01-06,Red,Harvard,15190.0
2020-01-06,Red,JFK/UMass,5688.0
2020-01-06,Red,Kendall/MIT,16981.0
2020-01-06,Red,North Quincy,5605.0
2020-01-06,Red,Park Street,5758.2
2020-01-06,Red,Porter,7876.0
2020-01-06,Red,Quincy Adams,3809.0
2020-01-06,Red,Quincy Center,6996.0
2020-01-06,Red,Savin Hill,2060.0
2020-01-06,Red,Shawmut,2006.0
2020-01-06,Red,South Station,17609.2
2020-01-06,Red,Wollaston,3361.0
2020-01-07,Blue,Airport,6605.0
2020-01-07,Blue,Aquarium,4288.0
2020-01-07,Blue,Beachmont,3153.0
2020-01-07,Blue,Bowdoin,2365.0
2020-01-07,Blue,Government Center,718.3
2020-01-07,Blue,Maverick,10766.0
2020-01-07,Blue,Orient Heights,4284.0
2020-01-07,Blue,Revere Beach,2859.0
2020-01-07,Blue,State Street,1421.5
2020-01-07,Blue,Suffolk Downs,614.0
2020-01-07,Blue,Wonderland,7019.0
2020-01-07,Blue,Wood Island,2026.0
2020-01-07,Green,Arlington,6630.0
2020-01-07,Green,Boylston,4797.0
2020-01-07,Green,Copley,11393.0
2020-01-07,Green,Government Center,6464.7
2020-01-07,Green,Haymarket,4321.8
2020-01-07,Green,Hynes Convention Center,5695.0
2020-01-07,Green,Kenmore,5110.0
2020-01-07,Green,Lechmere,5392.0
2020-01-07,Green,North Station,5508.34
2020-01-07,Green,Park Street,8007.4800000000005
2020-01-07,Green,Prudential,2994.0
2020-01-07,Green,Riverside,1231.0
2020-01-07,Green,Science Park,658.0
2020-01-07,Green,Symphony,1508.0
2020-01-07,Orange,Assembly,4075.0
2020-01-07,Orange,Back Bay,16459.0
2020-01-07,Orange,Chinatown,5355.0
2020-01-07,Orange,Community College,2876.0
2020-01-07,Orange,Downtown Crossing,11861.92
2020-01-07,Orange,Forest Hills,12684.0
2020-01-07,Orange,Green Street,3196.0
2020-01-07,Orange,Haymarket,4498.2
2020-01-07,Orange,Jackson Square,5382.0
2020-01-07,Orange,Malden Center,10848.0
2020-01-07,Orange,Massachusetts Avenue,5700.0
2020-01-07,Orange,North Station,10692.66
2020-01-07,Orange,Oak Grove,6386.0
2020-01-07,Orange,Roxbury Crossing,4632.0
2020-01-07,Orange,Ruggles,9813.0
2020-01-07,Orange,State Street,12793.5
2020-01-07,Orange,Stony Brook,3461.0
2020-01-07,Orange,Sullivan Square,7968.0
2020-01-07,Orange,Tufts Medical Center,6376.0
2020-01-07,Orange,Wellington,7260.0
2020-01-07,Red,Alewife,11792.0
2020-01-07,Red,Andrew,5497.0
2020-01-07,Red,Ashmont,8651.0
2020-01-07,Red,Braintree,4489.0
2020-01-07,Red,Broadway,6373.0
2020-01-07,Red,Central,15522.0
2020-01-07,Red,Charles/MGH,10524.0
2020-01-07,Red,Davis,11461.0
2020-01-07,Red,Downtown Crossing,12346.08
2020-01-07,Red,Fields Corner,4930.0
2020-01-07,Red,Harvard,15994.0
2020-01-07,Red,JFK/UMass,5863.0
2020-01-07,Red,Kendall/MIT,16479.0
2020-01-07,Red,North Quincy,5770.0
2020-01-07,Red,Park Street,5798.5199999999995
2020-01-07,Red,Porter,8422.0
2020-01-07,Red,Quincy Adams,3942.0
2020-01-07,Red,Quincy Center,7286.0
2020-01-07,Red,Savin Hill,2159.0
2020-01-07,Red,Shawmut,2291.0
2020-01-07,Red,South Station,17816.4
2020-01-07,Red,Wollaston,3439.0
2020-01-08,Blue,Airport,7082.0
2020-01-08,Blue,Aquarium,4322.0
2020-01-08,Blue,Beachmont,3242.0
2020-01-08,Blue,Bowdoin,2331.0
2020-01-08,Blue,Government Center,708.3
2020-01-08,Blue,Maverick,10865.0
2020-01-08,Blue,Orient Heights,4337.0
2020-01-08,Blue,Revere Beach,2862.0
2020-01-08,Blue,State Street,1341.6
2020-01-08,Blue,Suffolk Downs,770.0
2020-01-08,Blue,Wonderland,6937.0
2020-01-08,Blue,Wood Island,2122.0
2020-01-08,Green,Arlington,6813.0
2020-01-08,Green,Boylston,4803.0
2020-01-08,Green,Copley,11519.0
2020-01-08,Green,Government Center,6374.7
